video_name,resolution,prediction,time_taken,category
3.mp4,320x240,Unhealthy,6.840535,healthy
3.mp4,480x320,Healthy,13.644203,healthy
3.mp4,640x480,Healthy,14.721934,healthy
3.mp4,800x600,Can't Tell,16.930423,healthy
3.mp4,1024x768,Unhealthy,23.314153,healthy
3.mp4,1280x720,Unhealthy,23.610349,healthy
1.mp4,320x240,Unhealthy,2.350724,healthy
1.mp4,480x320,Unhealthy,2.821596,healthy
1.mp4,640x480,Unhealthy,3.278633,healthy
1.mp4,800x600,Unhealthy,3.412691,healthy
1.mp4,1024x768,Can't Tell,6.070013,healthy
1.mp4,1280x720,Can't Tell,6.213926,healthy
4.mp4,320x240,Healthy,1.62877,healthy
4.mp4,480x320,Healthy,1.764901,healthy
4.mp4,640x480,Unhealthy,2.718651,healthy
4.mp4,800x600,Unhealthy,2.854807,healthy
4.mp4,1024x768,Can't Tell,3.485318,healthy
4.mp4,1280x720,Can't Tell,3.949262,healthy
2.mp4,320x240,Can't Tell,0.129199,healthy
2.mp4,480x320,Unhealthy,0.863099,healthy
2.mp4,640x480,Unhealthy,0.998721,healthy
2.mp4,800x600,Unhealthy,1.51921,healthy
2.mp4,1024x768,Unhealthy,1.6641620000000001,healthy
2.mp4,1280x720,Healthy,6.720064,healthy
5.mp4,320x240,Healthy,1.742614,healthy
5.mp4,480x320,Unhealthy,2.456137,healthy
5.mp4,640x480,Can't Tell,3.221793,healthy
5.mp4,800x600,Can't Tell,3.774171,healthy
5.mp4,1024x768,Unhealthy,4.230293,healthy
5.mp4,1280x720,Unhealthy,4.769015,healthy
3.mp4,320x240,Unhealthy,14.750522,healthy
3.mp4,480x320,Healthy,15.742911,healthy
3.mp4,640x480,Healthy,16.198433,healthy
3.mp4,800x600,Unhealthy,16.943022,healthy
3.mp4,1024x768,Can't Tell,17.526816,healthy
3.mp4,1280x720,Can't Tell,17.966477,healthy
4.mp4,320x240,Unhealthy,9.583639,healthy
4.mp4,480x320,Healthy,12.710699,healthy
4.mp4,640x480,Healthy,12.857099,healthy
4.mp4,800x600,Healthy,12.977175,healthy
2.mp4,320x240,Healthy,0.139961,healthy
2.mp4,480x320,Healthy,0.915295,healthy
2.mp4,640x480,Healthy,1.043755,healthy
5.mp4,320x240,Healthy,0.146252,healthy
5.mp4,480x320,Healthy,0.309711,healthy
5.mp4,640x480,Healthy,0.606683,healthy
1.mp4,320x240,Healthy,0.125263,healthy
1.mp4,480x320,Healthy,0.510122,healthy
1.mp4,640x480,Healthy,0.655958,healthy
5.mp4,320x240,Can't Tell,3.252111,healthy
5.mp4,480x320,Healthy,22.540191,healthy
5.mp4,640x480,Unhealthy,25.26061,healthy
5.mp4,800x600,Unhealthy,25.389888,healthy
5.mp4,1024x768,Unhealthy,41.028485,healthy
5.mp4,1280x720,Healthy,42.172388,healthy
4.mp4,320x240,Healthy,0.158264,healthy
4.mp4,480x320,Unhealthy,3.574896,healthy
4.mp4,640x480,Unhealthy,3.7105259999999998,healthy
4.mp4,800x600,Can't Tell,5.975223,healthy
4.mp4,1024x768,Unhealthy,6.805916,healthy
4.mp4,1280x720,Healthy,7.463793,healthy
1.mp4,320x240,Healthy,1.061867,healthy
1.mp4,480x320,Unhealthy,1.516886,healthy
1.mp4,640x480,Can't Tell,1.9010639999999999,healthy
1.mp4,800x600,Unhealthy,2.2670719999999998,healthy
1.mp4,1024x768,Healthy,2.676577,healthy
1.mp4,1280x720,Unhealthy,4.084493,healthy
3.mp4,320x240,Unhealthy,0.142713,healthy
3.mp4,480x320,Unhealthy,0.712083,healthy
3.mp4,640x480,Unhealthy,0.879613,healthy
3.mp4,800x600,Can't Tell,1.661343,healthy
3.mp4,1024x768,Can't Tell,1.814527,healthy
3.mp4,1280x720,Unhealthy,2.237611,healthy
2.mp4,320x240,Unhealthy,0.159386,healthy
2.mp4,480x320,Healthy,1.023408,healthy
2.mp4,640x480,Healthy,1.19118,healthy
2.mp4,800x600,Unhealthy,1.624423,healthy
2.mp4,1024x768,Unhealthy,1.791383,healthy
2.mp4,1280x720,Can't Tell,2.3028370000000002,healthy
